City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
379,Leeton,-34.57,146.4,75.2,50,79,18.34,broken clouds
380,Popondetta,-8.75,148.25,72.99,92,65,2.68,light rain
381,Bellary,15.15,76.93,67.75,97,26,5.12,scattered clouds
382,Coos Bay,43.37,-124.22,55.99,81,1,2.82,clear sky
383,Yar-Sale,66.83,70.83,4.46,93,100,10.76,overcast clouds
384,Asau,46.43,26.4,34.0,96,100,2.71,overcast clouds
385,Herat,34.5,62.0,39.27,75,78,12.64,broken clouds
386,Kota Kinabalu,5.97,116.07,75.2,94,40,5.82,light rain
387,Nha Trang,12.25,109.18,77.0,94,75,16.11,moderate rain
388,Sioux Lookout,50.1,-91.92,32.0,94,75,3.67,broken clouds
389,Rouvroy,50.39,2.9,44.6,87,0,6.93,clear sky
390,Touros,-5.2,-35.46,80.6,69,40,14.99,scattered clouds
391,Reconquista,-29.15,-59.65,77.47,90,98,10.63,heavy intensity rain
